Epoch,Loss
1,0.007821563438506453
2,0.004962366568161899
3,0.0023414037808787767
4,0.0016796470891868186
5,0.001391601943407967
6,0.0012394065262785383
7,0.0010765576197552217
8,0.0010080753030718133
9,0.0008939016351971633
10,0.0009183254820342134
11,0.0008133627115793312
12,0.0007874349002047163
13,0.0007435305371797483
14,0.0007262784656979571
15,0.0007349941099083324
16,0.0006257911638362677
17,0.0006755680436413783
18,0.0006240563428957774
19,0.0006425343691163762
20,0.0005746454233674415
21,0.0005480511609693265
22,0.0005599862151070362
23,0.0005427069511934878
24,0.000508808393504435
25,0.000499786303755323
26,0.0004588179306978372
27,0.0004521163636863018
28,0.00044253534822024786
29,0.0004420083580252412
30,0.00040282884857003356
31,0.00039201584033991333
32,0.00037350427353039834
33,0.0003774499124513678
34,0.0003359517478161628
35,0.0003399787735598826
36,0.000328857031942621
37,0.00033046850839342067
38,0.0002934141410811312
39,0.0002781605975669779
40,0.0002802021366397251
41,0.0002736378933642665
42,0.000250828736124317
43,0.00025425279959939885
44,0.00023711684651548268
45,0.0002307490759698235
46,0.0002363904149072826
47,0.00023314479874168183
48,0.0002243509197738882
49,0.0002264070181305087
50,0.0002117197520628269
