Epoch,Loss
1,0.013816567265375215
2,0.007188594117048819
3,0.005106360242245304
4,0.0016828429492955707
5,0.0008897932009418513
6,0.0006700640284399959
7,0.0005539093182531963
8,0.00046022558908473556
9,0.0004598546806933465
10,0.0004113878641213783
11,0.00037168864849257833
12,0.0003563209862639582
13,0.0003743618597894919
14,0.00032126689565169274
15,0.00030832904540032004
16,0.000309977503319176
17,0.0002915230256195364
18,0.0002709916418538411
19,0.0002646386320480282
20,0.00024180941629055948
21,0.00024743161589102996
22,0.0002340302550234642
23,0.0002301509578205841
24,0.00022194193163367618
25,0.00021466389823976347
26,0.0002080069854021351
27,0.00020464691258395969
28,0.00018008872079714884
29,0.00017370155500470524
30,0.00016338938486074235
31,0.00015555292227606521
32,0.00014389139293488352
33,0.00014691370579037388
34,0.00014333830948749996
35,0.00013051936402453472
36,0.00013080843617534562
37,0.00012860100855939624
38,0.00011526310762092412
39,0.00011287020305453378
40,0.00010655852889080063
41,0.00010589610170357962
42,0.00010047352868247226
43,9.94717721502181e-05
44,9.280007709244824e-05
45,8.681713523540444e-05
46,8.477757517678461e-05
47,8.349604963971552e-05
48,8.566691656504271e-05
49,8.29193583978073e-05
50,8.151500061931827e-05
